ID,Zip_Code,Total_Population,Has?
337,1603,19981,0
338,1604,36772,0
339,1605,28742,0
340,1606,19375,0
341,1607,8698,0
342,1608,3371,0
343,1609,20714,0
344,1610,23438,0
345,1611,2451,0
346,1612,4845,0
347,1701,32098,1
348,1702,39226,0
349,1718,716,0
350,1719,5546,0
351,1720,22680,0
352,1721,17478,0
353,1730,14031,1
354,1731,2012,0
355,1740,5167,0
356,1741,5160,0
357,1742,19383,0
358,1745,501,0
359,1746,14480,0
360,1747,5955,0
361,1748,16720,0
362,1749,19843,0
363,1752,39771,1
364,1754,10560,0
365,1756,5995,0
366,1757,28694,1
367,1760,35715,1
368,1770,4302,0
369,1772,9520,0
370,1773,4791,0
371,1775,7061,0
372,1776,18697,0
373,1778,13850,0
374,1801,40375,1
375,1803,26103,1
376,1810,35375,0
377,1821,32348,0
378,1824,25961,1
379,1826,30948,0
380,1827,3337,0
381,1830,26524,1
382,1832,23372,0
383,1833,8569,0
384,1834,6697,0
385,1835,13047,0
386,1840,5248,0
387,1841,48295,0
388,1843,25942,0
389,1844,49587,1
390,1845,30170,1
391,1850,16890,0
392,1851,29849,0
393,1852,34756,0
394,1854,29561,0
395,1860,6752,0
396,1862,10676,1
397,1863,9106,0
398,1864,15598,0
399,1867,24894,1
400,1876,30433,0
401,1879,12305,0
402,1880,26450,0
403,1886,24087,1
404,1887,23538,0
405,1890,22579,0
406,1901,1878,0
407,1902,48218,0
408,1904,17320,0
409,1905,25590,0
410,1906,28037,1
411,1907,14758,1
412,1908,3488,0
413,1913,17218,0
414,1915,41431,1
415,1921,8228,0
416,1922,2812,0
417,1923,27391,0
418,1929,3687,0
419,1930,29858,0
420,1937,136,0
421,1938,13810,0
422,1940,13425,0
423,1944,5327,0
424,1945,20393,0
425,1949,9656,0
426,1950,17890,0
427,1951,4152,0
428,1952,9035,0
429,1960,52313,1
430,1966,7184,0
431,1969,6232,0
432,1970,42991,0
433,1982,7991,0
434,1983,6496,0
435,1984,5179,0
436,1985,4545,0
437,2019,16929,0
438,2021,22829,0
439,2025,8393,0
440,2026,25362,1
441,2030,5922,0
442,2032,4410,0
443,2035,17448,0
444,2038,32843,1
445,2043,23047,1
446,2045,10402,0
447,2047,65,0
448,2048,23678,1
449,2050,26032,0
450,2052,12610,0
451,2053,13162,0
452,2054,8144,0
453,2056,11388,0
454,2061,10897,0
455,2062,29121,1
456,2066,18042,0
457,2067,18148,0
458,2071,1572,0
459,2072,28338,0
460,2081,19358,0
461,2090,15612,1
462,2093,11597,0
463,2108,4211,0
464,2109,4051,0
465,2110,2270,1
466,2111,7452,0
467,2113,7464,0
468,2114,13247,0
469,2115,29244,0
470,2116,23215,0
471,2118,27325,0
472,2119,28152,0
473,2120,15719,0
474,2121,28479,0
475,2122,24643,0
476,2124,55074,0
477,2125,35254,1
478,2126,29141,0
479,2127,37257,0
480,2128,46655,0
481,2129,18901,0
482,2130,39435,0
483,2131,32819,0
484,2132,28505,0
485,2134,18057,0
486,2135,42644,1
487,2136,33084,0
488,2138,37668,0
489,2139,36979,0
490,2140,19737,0
491,2141,13664,1
492,2142,2929,0
493,2143,26773,0
494,2144,24682,1
495,2145,26430,0
496,2148,61375,0
497,2149,44993,0
498,2150,39263,0
499,2151,53873,0
500,2152,18391,0
501,2155,59779,1
502,2163,2569,0
503,2169,56541,0
504,2170,19434,0
505,2171,17849,1
506,2176,28132,0
507,2180,21967,0
508,2184,37082,1
509,2186,27527,0
510,2188,15301,0
511,2189,15146,0
512,2190,17415,0
513,2191,8028,0
514,2199,1177,0
515,2203,27,0
516,2210,2609,0
517,2215,25023,1
518,2301,61320,1
519,2302,33841,0
520,2322,4468,0
521,2324,27434,0
522,2330,11617,0
523,2332,15572,0
524,2333,14301,0
525,2338,7739,0
526,2339,14328,0
527,2341,10560,0
528,2343,10753,0
529,2346,24166,0
530,2347,11292,0
531,2351,16275,0
532,2356,12885,0
533,2357,1178,0
534,2359,18230,0
535,2360,58500,0
536,2364,13210,0
537,2366,195,0
538,2367,2912,0
539,2368,33980,1
540,2370,17849,0
541,2375,9938,0
542,2379,7117,0
543,2382,14864,0
544,2420,14579,0
545,2421,18760,0
546,2445,20774,0
547,2446,30113,0
548,2451,18646,1
549,2452,15470,0
550,2453,28696,0
551,2457,1680,0
552,2458,12465,0
553,2459,19473,0
554,2460,9911,0
555,2461,7214,0
556,2462,1520,0
557,2464,3155,1
558,2465,12112,0
559,2466,8568,0
560,2467,22105,0
561,2468,5568,0
562,2472,34715,1
563,2474,28028,0
564,2476,16964,0
565,2478,25940,0
566,2481,16309,0
567,2482,11015,0
568,2492,20128,0
569,2493,12027,0
570,2494,10301,0
571,2532,13337,0
572,2534,815,0
573,2535,1757,0
574,2536,19191,0
575,2537,6572,0
576,2538,3571,0
577,2539,4292,0
578,2540,8294,0
579,2542,881,0
580,2543,909,0
581,2553,35,0
582,2554,10590,0
583,2556,2869,0
584,2557,4675,0
585,2558,749,0
586,2559,4028,0
587,2561,325,0
588,2562,3008,0
589,2563,9501,0
590,2564,312,0
591,2568,4100,0
592,2571,10940,0
593,2575,2417,0
594,2576,4873,0
595,2584,10,0
596,2601,15063,1
597,2630,2277,0
598,2631,9736,0
599,2632,9923,0
600,2633,4055,0
601,2635,3301,0
602,2637,141,0
603,2638,3011,0
604,2639,2949,0
605,2641,191,0
606,2642,4908,0
607,2643,0,0
608,2644,4393,0
609,2645,9516,0
610,2646,1806,0
611,2647,121,0
612,2648,6589,0
613,2649,14054,0
614,2650,906,0
615,2651,0,0
616,2652,942,0
617,2653,5905,0
618,2655,3257,0
619,2657,2952,0
620,2659,1030,0
621,2660,6657,0
622,2663,96,0
623,2664,9226,0
624,2666,638,0
625,2667,3075,0
626,2668,2807,0
627,2669,158,0
628,2670,1158,0
629,2671,889,0
630,2672,368,0
631,2673,8397,0
632,2675,6314,0
633,2702,4472,0
634,2703,44326,1
635,2713,25,0
636,2715,3703,0
637,2717,4703,0
638,2718,6295,0
639,2719,16027,0
640,2720,31126,0
641,2721,25985,0
642,2723,14236,0
643,2724,17391,0
644,2725,2453,0
645,2726,15804,0
646,2738,5065,0
647,2739,6245,0
648,2740,43686,0
649,2743,10443,0
650,2744,11184,0
651,2745,24294,0
652,2746,15637,0
653,2747,23568,1
654,2748,11316,0
655,2760,27100,0
656,2762,9000,0
657,2763,1933,0
658,2764,3872,0
659,2766,19515,0
660,2767,14018,1
661,2769,11990,0
662,2770,5199,0
663,2771,14957,1
664,2777,16204,0
665,2779,6630,0
666,2780,50358,0
667,2790,15832,0
668,2791,279,0
669,2802,903,0
670,2804,2076,0
671,2806,16218,0
