Zip_Code,Total_Population,Median_Income,num_of_fast_food,num_of_mex_restaurants,Labels,Brand,Address,City,State,Probability
1007,14906,86165,255,97,0,,0,0,0,63%
1008,1272,62750,7,5,0,,0,0,0,59%
1009,384,59440,,,0,,0,0,0,
1010,3724,86523,37,7,0,,0,0,0,61%
1011,1507,75263,218,88,0,,0,0,0,62%
1012,531,70114,11,234,0,,0,0,0,59%
1013,23026,39868,158,51,0,,0,0,0,58%
1020,30148,58780,85,26,1,Chipotle,530 Memorial Dr,Chicopee,MA,
1022,2604,43349,76,23,0,,0,0,0,58%
1026,958,51442,489,216,0,,0,0,0,62%
1027,17870,63699,239,93,0,,0,0,0,61%
1028,16156,85221,64,28,1,Chipotle,42 Center Square,East Longmeadow,MA,
1029,728,50750,9,449,0,,0,0,0,57%
1030,11211,71716,79,20,0,,0,0,0,60%
1031,1151,41875,266,97,0,,0,0,0,59%
1032,551,78011,27,18,0,,0,0,0,60%
1033,6300,89965,127,55,0,,0,0,0,62%
1034,2313,87045,309,117,0,,0,0,0,64%
1035,5301,58953,46,34,1,Chipotle,334 Russell St,Hadley,MA,
1036,5193,81304,15,7,0,,0,0,0,61%
1037,772,92750,10,596,0,,0,0,0,61%
1038,2897,67096,28,28,0,,0,0,0,59%
1039,1129,80000,39,32,0,,0,0,0,61%
1040,40362,37954,161,75,1,Chipotle,235 Whiting Farms Rd,Holyoke,MA,
1050,2334,68869,16,5,0,,0,0,0,60%
1053,1658,62222,14,16,0,,0,0,0,59%
1054,1997,87174,49,22,0,,0,0,0,62%
1056,21331,67715,148,62,0,,0,0,0,60%
1057,8801,78986,45,10,0,,0,0,0,61%
1060,15729,57485,64,38,0,,0,0,0,59%
1062,10587,73438,61,39,0,,0,0,0,60%
1063,574,-666666666,10,14,0,,0,0,0,
1066,9,-666666666,,,0,,0,0,0,
1068,1849,85938,15,5,0,,0,0,0,61%
1069,8919,59211,39,11,0,,0,0,0,59%
1070,637,57000,5,215,0,,0,0,0,58%
1071,1206,67132,34,9,0,,0,0,0,59%
