,zip_code,num_of_fast_food,num_of_mex-restaurants
605,3060,65,31
606,3062,68,32
607,3063,74,32
608,3064,64,30
609,3070,19,6
610,3071,18,9
611,3076,234,103
612,3077,32,11
613,3079,158,71
614,3082,19,12
615,3084,16,9
616,3086,21,11
617,3087,202,93
618,3101,57,36
619,3102,108,52
620,3103,136,59
621,3104,78,42
622,3106,107,53
623,3109,80,43
624,3110,134,59
625,3215,41,28
626,3216,7,165
627,3217,40,26
628,3218,12,283
629,3220,26,16
630,3221,38,16
631,3222,44,26
632,3223,27,18
633,3224,46,17
634,3225,7,288
635,3226,15,11
636,3227,55,38
637,3229,33,14
638,3230,39,23
639,3231,77,39
640,3234,39,15
641,3235,16,11
642,3237,90,41
643,3238,20,15
644,3240,203,120
645,3241,7,6
646,3242,9,288
647,3243,16,6
648,3244,74,36
649,3245,16,8
650,3246,31,17
651,3249,63,34
652,3251,21,13
653,3253,49,27
654,3254,52,32
655,3255,8,195
656,3256,42,24
657,3257,7,163
658,3258,39,14
659,3259,143,77
660,3260,5,192
661,3261,10,6
662,3262,21,15
663,3263,17,6
664,3264,40,26
665,3266,22,20
666,3268,18,7
667,3269,56,30
668,3273,55,23
669,3275,50,19
670,3276,22,14
671,3278,85,42
672,3279,151,92
673,3280,6,218
674,3281,28,12
675,3282,150,95
676,3284,259,142
677,3285,20,13
678,3287,5,167
679,3290,27,15
680,3293,19,13
681,3301,147,76
682,3303,90,43
683,3304,79,42
684,3307,95,44
685,3431,51,26
686,3440,6,302
687,3441,58,24
688,3442,93,44
689,3443,9,5
690,3444,8,6
691,3445,14,11
692,3446,15,11
693,3447,13,6
694,3448,17,12
695,3449,7,7
696,3450,12,12
697,3451,13,7
698,3452,12,6
699,3455,18,12
700,3456,443,219
701,3457,19,15
702,3458,81,39
703,3461,13,5
704,3462,25,15
705,3464,12,10
706,3465,22,13
707,3466,13,7
708,3467,27,17
709,3470,71,32
710,3561,27,13
711,3570,9,6
712,3574,23,9
713,3576,29,13
714,3579,7,5
715,3580,21,12
716,3581,14,14
717,3582,11,7
718,3583,5,41
719,3584,14,12
720,3585,21,13
721,3586,6,70
722,3588,6,5
723,3590,33,15
724,3592,10,6
725,3593,81,49
726,3595,71,45
727,3597,40,17
728,3598,24,12
729,3601,15,5
730,3602,52,32
731,3603,24,13
732,3604,51,29
733,3605,10,194
734,3607,6,149
735,3608,5,119
736,3609,52,29
737,3740,7,75
738,3741,35,21
739,3743,45,22
740,3745,10,87
741,3746,39,20
742,3748,41,22
743,3750,21,13
744,3751,41,21
745,3752,5,195
746,3753,24,11
747,3755,26,17
748,3765,21,12
749,3766,21,13
750,3768,144,89
751,3770,41,21
752,3771,8,52
753,3773,48,22
754,3774,114,85
755,3777,122,86
756,3779,128,87
757,3780,5,88
758,3781,42,21
759,3782,5,166
760,3784,22,14
761,3785,17,11
762,3801,74,62
763,3809,108,53
764,3810,64,32
765,3811,37,19
766,3812,33,27
767,3813,211,141
768,3814,7,130
769,3816,45,27
770,3818,33,24
771,3819,483,248
772,3820,80,52
773,3823,90,53
774,3824,86,55
775,3825,181,101
776,3826,13,7
777,3827,100,57
778,3830,5,5
779,3832,22,8
780,3833,74,45
781,3835,28,10
782,3836,8,133
783,3837,7,7
784,3838,19,16
785,3839,21,7
786,3840,42,33
787,3841,10,6
788,3842,76,61
789,3844,84,55
790,3845,22,16
791,3846,28,23
792,3848,89,47
793,3849,19,6
794,3850,50,31
795,3851,17,8
796,3852,530,307
797,3853,18,13
798,3854,15,19
799,3855,111,52
800,3856,8,7
801,3857,70,55
802,3858,16,7
803,3860,22,16
804,3861,47,30
805,3862,85,61
806,3864,9,162
807,3865,25,15
808,3867,34,19
809,3868,48,22
810,3869,19,14
811,3870,70,50
812,3872,50,19
813,3873,476,233
814,3874,60,37
815,3875,16,7
816,3878,25,13
817,3882,6,202
818,3884,200,116
819,3885,89,59
820,3886,9,5
821,3887,7,5
822,3890,48,33
823,3894,53,26
824,3901,50,22
825,3902,51,44
826,3903,74,60
827,3904,40,29
828,3905,60,48
829,3906,50,23
830,3907,8,9
831,3908,51,34
832,3909,63,51
833,3910,56,5
834,4001,75,24
835,4002,169,72
836,4003,138,98
837,4005,188,117
838,4006,17,8
839,4008,28,15
840,4009,36,19
841,4010,7,181
842,4011,149,107
843,4015,11,5
844,4017,171,109
845,4020,358,210
846,4021,68,66
847,4022,5,167
848,4024,318,186
849,4027,99,47
850,4029,304,177
851,4030,13,267
852,4032,160,110
853,4037,222,153
854,4038,161,99
855,4039,10,7
856,4040,38,19
857,4041,304,178
858,4042,24,8
859,4043,66,26
860,4046,189,125
861,4047,372,219
862,4048,385,223
863,4049,350,210
864,4050,28,36
865,4051,33,23
866,4055,8,5
867,4056,57,22
868,4061,416,251
869,4062,150,100
870,4063,17,8
871,4064,36,15
872,4066,138,98
873,4068,6,190
874,4069,15,7
875,4071,136,96
876,4072,110,61
877,4073,31,10
878,4074,178,105
879,4076,101,35
880,4079,146,101
881,4083,15,54
882,4084,152,98
883,4085,9,193
884,4086,31,17
885,4087,9,291
886,4088,6,141
887,4090,38,20
888,4091,311,184
889,4092,103,77
890,4093,170,106
891,4095,435,260
892,4096,73,70
893,4097,16,8
894,4101,41,51
895,4102,92,73
896,4103,85,69
897,4105,101,79
898,4106,125,86
899,4107,108,78
900,4108,100,78
901,4110,11,6
902,4210,66,36
903,4216,27,20
904,4217,13,11
905,4219,13,5
906,4220,37,18
907,4221,15,6
908,4222,40,24
909,4224,8,62
910,4226,68,44
911,4231,136,85
912,4236,24,14
913,4237,5,55
914,4238,29,13
915,4239,7,50
916,4240,95,47
917,4250,42,23
918,4252,82,45
919,4253,137,67
920,4254,133,66
921,4255,5,65
922,4256,24,11
923,4257,101,55
924,4258,31,15
925,4259,8,133
926,4260,30,19
927,4261,78,48
928,4263,64,26
929,4265,73,30
930,4268,5,138
931,4270,44,25
932,4274,23,10
933,4275,33,22
934,4276,84,49
935,4280,91,43
936,4281,5,135
937,4282,40,17
938,4284,143,73
939,4285,8,5
940,4287,21,15
941,4289,5,78
942,4290,13,6
943,4292,162,85
944,4294,9,5
945,4330,45,18
946,4342,5,165
947,4344,27,9
948,4345,68,35
949,4346,27,10
950,4347,25,9
951,4348,46,24
952,4349,136,68
953,4350,15,7
954,4351,27,9
955,4352,8,66
956,4353,60,31
957,4354,179,94
958,4355,23,9
959,4357,6,152
960,4358,42,16
961,4359,62,32
962,4360,106,51
963,4363,10,87
964,4364,26,9
965,4401,42,14
966,4406,5,19
967,4408,63,28
968,4410,81,25
969,4411,26,12
970,4412,37,14
971,4413,8,2
972,4414,14,3
973,4415,39,12
974,4416,54,21
975,4417,43,15
976,4418,34,11
977,4419,114,48
978,4421,96,64
979,4422,81,25
980,4424,9,2
981,4426,55,18
982,4427,89,31
983,4428,53,17
984,4429,53,18
985,4430,10,2
986,4434,116,47
987,4435,89,32
988,4438,115,68
989,4441,3,1
990,4443,57,22
991,4444,45,15
992,4448,49,16
993,4449,82,29
994,4450,46,15
995,4451,9,3
996,4453,6,16
997,4455,42,15
998,4456,8,53
999,4457,13,3
1000,4459,8,2
1001,4460,10,2
1002,4461,15,8
1003,4462,3,1
1004,4463,54,18
1005,4464,26,10
1006,4468,38,14
1007,4469,5,14
1008,4471,5,1
1009,4472,53,22
1010,4473,39,14
1011,4474,36,12
1012,4475,49,16
1013,4476,6,60
1014,4478,4,0
1015,4479,71,22
1016,4481,55,18
1017,4485,17,6
1018,4487,23,10
1019,4488,109,40
1020,4489,8,14
1021,4490,4,1
1022,4491,14,2
1023,4492,3,1
1024,4493,49,16
1025,4495,9,3
1026,4496,15,6
1027,4497,11,2
1028,4530,65,43
1029,4535,7,9
1030,4537,35,22
1031,4538,35,22
1032,4539,7,9
1033,4543,45,23
1034,4544,36,22
1035,4547,23,20
1036,4548,38,25
1037,4551,7,6
1038,4553,6,8
1039,4554,26,17
1040,4555,5,7
1041,4556,13,11
1042,4558,30,18
1043,4562,49,33
1044,4563,13,6
1045,4564,6,8
1046,4568,6,144
1047,4571,37,22
1048,4572,31,24
1049,4573,8,8
1050,4574,160,84
1051,4575,11,160
1052,4576,34,22
1053,4578,41,23
1054,4579,22,16
1055,4605,88,54
1056,4606,30,28
1057,4607,28,26
1058,4609,29,27
1059,4611,28,26
1060,4612,29,26
1061,4613,28,26
1062,4614,31,25
1063,4616,87,57
1064,4617,96,63
1065,4619,5,2
1066,4622,68,43
1067,4623,32,28
1068,4624,66,42
1069,4625,29,26
1070,4626,6,3
1071,4627,74,53
1072,4628,6,5
1073,4630,21,22
1074,4631,5,2
1075,4634,28,23
1076,4637,6,2
1077,4640,25,20
1078,4642,31,20
1079,4643,16,19
1080,4646,13,17
1081,4648,23,25
1082,4649,19,25
1083,4650,30,23
1084,4652,5,2
1085,4653,63,49
1086,4654,32,28
1087,4655,7,6
1088,4657,20,21
1089,4658,18,21
1090,4660,29,26
1091,4662,29,5
1092,4664,27,26
1093,4666,6,3
1094,4667,6,3
1095,4668,5,2
1096,4671,6,3
1097,4673,22,18
1098,4674,83,5
1099,4675,29,26
1100,4676,92,60
1101,4677,27,26
1102,4679,14,17
1103,4680,17,23
1104,4681,52,45
1105,4684,33,25
1106,4685,51,43
1107,4686,19,11
1108,4691,6,5
1109,4693,15,19
1110,4694,5,2
1111,4730,8,1
1112,4732,0,0
1113,4733,10,2
1114,4734,5,6
1115,4735,12,6
1116,4736,18,5
1117,4739,14,4
1118,4740,5,5
1119,4742,10,5
1120,4743,14,5
1121,4745,7,2
1122,4746,13,2
1123,4747,8,2
1124,4750,10,5
1125,4756,6,2
1126,4757,6,5
1127,4758,16,6
1128,4760,6,6
1129,4761,8,1
1130,4762,5,5
1131,4763,8,2
1132,4764,10,6
1133,4765,7,4
1134,4766,18,5
1135,4768,7,0
1136,4769,6,5
1137,4772,8,5
1138,4773,8,2
1139,4774,3,0
1140,4776,9,2
1141,4777,7,2
1142,4779,8,5
1143,4780,11,7
1144,4781,8,5
1145,4783,18,5
1146,4785,10,5
1147,4786,6,5
1148,4787,16,6
1149,4841,14,11
1150,4843,19,19
1151,4847,10,8
1152,4848,23,17
1153,4849,22,18
1154,4851,41,44
1155,4852,8,8
1156,4853,71,57
1157,4854,10,6
1158,4855,21,20
1159,4856,14,11
1160,4858,12,6
1161,4859,16,12
1162,4860,20,18
1163,4861,11,6
1164,4862,31,27
1165,4863,66,55
1166,4864,15,11
1167,4901,47,18
1168,4910,10,5
1169,4911,27,13
1170,4912,9,19
1171,4915,9,12
1172,4917,53,20
1173,4918,6,61
1174,4920,19,11
1175,4921,41,18
1176,4922,118,51
1177,4923,77,28
1178,4924,24,9
1179,4925,17,8
1180,4927,19,7
1181,4928,78,29
1182,4929,105,44
1183,4930,11,23
1184,4932,123,52
1185,4937,19,7
1186,4938,89,42
1187,4939,82,26
1188,4941,21,15
1189,4942,70,26
1190,4943,95,39
1191,4945,4,0
1192,4947,29,15
1193,4949,152,77
1194,4950,5,28
1195,4951,130,62
1196,4952,146,5
1197,4953,104,40
1198,4955,98,44
1199,4956,61,26
1200,4957,28,12
1201,4958,9,8
1202,4961,27,15
1203,4962,25,8
1204,4963,49,19
1205,4964,15,12
1206,4965,103,42
1207,4966,5,7
1208,4967,23,8
1209,4969,115,47
1210,4970,10,10
1211,4971,84,34
1212,4973,19,18
1213,4974,6,5
1214,4976,24,9
1215,4978,15,6
1216,4979,40,21
1217,4981,27,12
1218,4982,26,15
1219,4983,50,22
1220,4984,5,29
1221,4985,9,4
1222,4986,15,7
1223,4987,118,51
1224,4988,129,63
1225,4989,36,12
1226,5001,34,27
1227,5032,41,22
1228,5033,5,88
1229,5034,54,34
1230,5035,105,53
1231,5036,149,96
1232,5037,42,29
1233,5038,161,100
1234,5039,125,82
1235,5040,18,11
1236,5041,17,12
1237,5042,91,65
1238,5043,140,86
1239,5045,31,19
1240,5046,24,11
1241,5048,23,14
1242,5050,5,50
1243,5051,15,7
1244,5053,27,21
1245,5055,22,15
1246,5056,111,9
1247,5058,32,18
1248,5059,5,30
1249,5060,15,10
1250,5061,157,100
1251,5062,6,10
1252,5065,16,13
1253,5067,20,8
1254,5068,27,21
1255,5069,99,70
1256,5070,126,74
1257,5072,134,86
1258,5075,129,80
1259,5076,119,77
1260,5077,155,103
1261,5079,140,86
1262,5081,104,73
1263,5083,139,89
1264,5084,27,21
1265,5086,121,77
1266,5089,41,29
1267,5091,54,32
1268,5101,8,103
1269,5141,8,101
1270,5142,7,8
1271,5143,151,87
1272,5146,9,94
1273,5148,16,15
1274,5149,58,30
1275,5150,14,11
1276,5151,11,5
1277,5152,229,122
1278,5153,7,8
1279,5154,5,33
1280,5155,40,27
1281,5156,25,13
1282,5158,5,114
1283,5161,5,6
1284,5201,29,24
1285,5250,27,19
1286,5251,6,197
1287,5252,499,5
1288,5253,375,185
1289,5254,485,233
1290,5255,483,233
1291,5257,14,7
1292,5260,42,28
1293,5261,19,15
1294,5262,26,23
1295,5301,54,26
1296,5340,293,137
1297,5341,40,24
1298,5342,257,136
1299,5343,181,91
1300,5345,15,10
1301,5346,40,23
1302,5350,6,7
1303,5352,16,14
1304,5353,178,90
1305,5354,13,6
1306,5355,183,83
1307,5356,217,108
1308,5358,46,17
1309,5359,182,96
1310,5360,33,20
1311,5361,292,155
1312,5363,56,31
1313,5401,38,31
1314,5403,50,37
1315,5404,24,27
1316,5405,18,26
1317,5408,35,29
1318,5440,44,12
1319,5441,161,77
1320,5442,147,79
1321,5443,28,16
1322,5444,76,52
1323,5445,18,7
1324,5446,89,48
1325,5447,15,8
1326,5448,61,43
1327,5450,17,8
1328,5452,52,36
1329,5454,11,77
1330,5455,9,77
1331,5456,135,88
1332,5457,8,210
1333,5458,26,7
1334,5459,8,220
1335,5461,17,9
1336,5462,134,6
1337,5463,6,86
1338,5464,69,49
1339,5465,79,57
1340,5468,93,48
1341,5471,136,68
1342,5472,18,11
1343,5473,132,89
1344,5474,50,12
1345,5476,6,77
1346,5477,80,58
1347,5478,49,12
1348,5482,49,37
1349,5483,9,77
1350,5486,40,10
1351,5487,134,88
1352,5488,47,12
1353,5489,77,59
1354,5491,16,5
1355,5492,153,83
1356,5494,37,30
1357,5495,50,37
1358,5602,21,22
1359,5640,11,11
1360,5641,19,19
1361,5647,72,53
1362,5648,5,11
1363,5649,10,7
1364,5650,130,7
1365,5651,10,7
1366,5652,126,77
1367,5653,125,79
1368,5654,15,14
1369,5655,5,77
1370,5656,6,84
1371,5657,18,20
1372,5658,90,57
1373,5660,37,28
1374,5661,17,20
1375,5663,11,7
1376,5667,10,7
1377,5669,155,97
1378,5672,36,26
1379,5673,67,54
1380,5674,156,95
1381,5675,5,105
1382,5676,72,55
1383,5677,12,16
1384,5679,7,97
1385,5680,17,20
1386,5681,121,83
1387,5682,25,22
1388,5701,34,18
1389,5730,140,6
1390,5732,7,73
1391,5733,30,14
1392,5734,8,95
1393,5735,22,6
1394,5736,17,5
1395,5737,32,14
1396,5738,20,14
1397,5739,34,15
1398,5742,187,7
1399,5743,46,15
1400,5744,20,5
1401,5747,147,95
1402,5748,182,111
1403,5751,17,8
1404,5753,14,9
1405,5757,24,99
1406,5758,141,6
1407,5759,17,8
1408,5760,127,67
1409,5761,5,128
1410,5762,113,5
1411,5763,15,6
1412,5764,12,83
1413,5765,17,5
1414,5766,5,103
1415,5767,29,13
1416,5769,5,104
1417,5770,7,74
1418,5772,109,5
1419,5773,36,19
1420,5774,6,108
1421,5775,5,125
1422,5776,6,189
1423,5777,34,16
1424,5778,5,77
1425,5819,21,13
1426,5820,83,50
1427,5821,65,48
1428,5822,11,8
1429,5824,23,12
1430,5825,6,8
1431,5826,112,76
1432,5827,84,51
1433,5828,18,9
1434,5829,5,23
1435,5830,6,23
1436,5832,7,54
1437,5833,66,40
1438,5836,62,44
1439,5837,16,7
1440,5839,61,39
1441,5841,71,47
1442,5842,64,41
1443,5843,22,19
1444,5845,14,11
1445,5846,11,28
1446,5847,13,8
1447,5851,15,9
1448,5853,6,31
1449,5855,6,23
1450,5857,6,5
1451,5858,19,10
1452,5859,9,5
1453,5860,11,8
1454,5862,64,46
1455,5866,6,39
1456,5867,14,8
1457,5868,96,47
1458,5871,16,7
1459,5872,5,29
1460,5873,27,16
1461,5874,130,67
1462,5875,65,40
1463,5902,28,10
1464,5903,35,14
1465,5904,7,5
1466,5905,37,25
1467,5906,64,44
1468,5907,37,19
1469,6001,241,96
1470,6002,270,108
1471,6010,244,83
1472,6013,147,47
1473,6016,23,9
1474,6018,1200,5
1475,6019,106,45
1476,6021,163,75
1477,6023,24,7
1478,6024,58,32
1479,6026,147,47
1480,6027,461,173
1481,6029,584,202
1482,6031,7,7
1483,6032,300,118
1484,6033,281,123
1485,6035,92,28
1486,6037,325,130
1487,6039,1100,581
1488,6040,239,99
1489,6042,264,104
1490,6043,148,51
