Total Population,ZIP Code,Median Income
295,3777,30118
268,3779,34537
56,3780,30673
295,3781,43458
237,3782,35315
241,3784,32500
350,3785,22208
2077,3801,38827
146,3809,36612
98,3810,36875
362,3811,39505
55,3812,21090
350,3813,30800
157,3814,25510
201,3816,25766
448,3818,26740
383,3819,36449
1990,3820,32927
525,3823,42371
2048,3824,6939
291,3825,40013
177,3826,41775
688,3827,42244
76,3830,28710
122,3832,33000
2168,3833,40097
289,3835,29238
263,3836,25250
119,3837,33176
54,3838,29205
324,3839,29682
347,3840,46074
589,3841,42432
1358,3842,40763
363,3844,55852
54,3845,26935
130,3846,32727
310,3848,41227
163,3849,27474
29,3850,27029
346,3851,30665
50,3852,30278
72,3853,29625
146,3854,54188
367,3855,35750
431,3856,46563
574,3857,34182
402,3858,45260
286,3860,31370
199,3861,46426
431,3862,42492
136,3864,27411
401,3865,40054
1280,3867,29211
251,3868,32299
381,3869,36445
314,3870,45350
359,3872,28555
316,3873,46458
568,3874,30571
119,3875,31667
619,3878,30697
304,3882,27593
366,3884,36578
389,3885,45345
109,3886,24213
441,3887,32222
15,3890,27885
266,3894,29637
380,3901,32606
108,3902,42994
386,3903,35329
538,3904,35415
101,3905,27130
448,3906,30191
216,3907,35543
379,3908,35506
518,3909,40157
17,3910,24679
337,4001,26623
586,4002,29907
34,4003,41429
2098,4005,24786
21,4006,13688
143,4008,33327
253,4009,25219
276,4010,28212
1865,4011,27223
292,4015,23116
200,4017,30759
272,4020,23077
352,4021,51434
213,4022,27356
124,4024,27391
279,4027,27368
314,4029,29361
117,4030,33125
561,4032,33572
401,4037,20511
1177,4038,33251
470,4039,33059
467,4040,26551
287,4041,19408
344,4042,30236
793,4043,36444
691,4046,34468
373,4047,23250
438,4048,25211
262,4049,29222
101,4050,37292
195,4051,28947
234,4055,30703
58,4056,23583
117,4061,37025
1342,4062,34183
48,4063,35000
498,4064,28798
67,4066,42500
287,4068,18965
378,4069,35000
471,4071,35906
1375,4072,30912
1323,4073,24806
1364,4074,38601
360,4076,34500
570,4079,35881
354,4083,25327
584,4084,31064
102,4085,40068
681,4086,35689
83,4087,20233
275,4088,24784
526,4090,30677
202,4091,25508
1203,4092,30704
417,4093,33281
273,4095,27267
638,4096,36467
376,4097,42345
1527,4101,24223
1617,4102,28031
2177,4103,32535
839,4105,48491
2015,4106,30335
680,4107,51273
169,4108,35305
88,4110,61250
2141,4210,26895
118,4216,25556
403,4217,22170
324,4219,21892
466,4220,27185
194,4221,24770
325,4222,37023
416,4224,16888
44,4226,35250
138,4231,24200
369,4236,32834
86,4237,32500
322,4238,20829
254,4239,28136
2722,4240,22054
358,4250,27167
398,4252,28311
351,4253,29333
249,4254,20500
161,4255,26827
154,4256,29680
216,4257,22206
435,4258,28611
244,4259,31824
280,4260,38514
174,4261,27500
351,4263,28750
93,4265,25373
289,4268,22577
625,4270,24930
305,4274,30408
178,4275,19464
415,4276,18405
635,4280,31755
256,4281,19092
312,4282,30050
216,4284,33533
148,4285,26202
245,4287,29603
404,4289,22106
320,4290,25264
269,4292,19634
318,4294,22821
2188,4330,24884
443,4342,31563
138,4344,30387
1051,4345,30907
276,4346,27063
243,4347,26336
513,4348,24824
252,4349,31859
272,4350,35293
375,4351,35489
316,4352,29801
382,4353,21743
345,4354,27198
354,4355,32007
276,4357,27652
326,4358,27705
25,4359,27321
153,4360,26563
333,4363,26997
288,4364,28441
3231,4401,24708
204,4406,22434
64,4408,25000
257,4410,21768
300,4411,27096
732,4412,28456
42,4413,22188
247,4414,21208
34,4415,19241
361,4416,23519
88,4417,21250
300,4418,21927
406,4419,27064
258,4421,7000
295,4422,21250
184,4424,13375
556,4426,23317
413,4427,27250
573,4428,30127
489,4429,30435
432,4430,20868
227,4434,21250
248,4435,24091
236,4438,23711
161,4441,24447
543,4443,22668
700,4444,35175
269,4448,19427
331,4449,25047
258,4450,31083
51,4451,19948
183,4453,20208
208,4455,21992
386,4456,29979
524,4457,20173
226,4459,20387
212,4460,21842
156,4461,26030
303,4462,21976
509,4463,17335
166,4464,22163
1066,4468,21394
467,4469,3628
186,4471,18269
274,4472,24812
800,4473,14337
278,4474,30952
196,4475,22946
233,4476,25703
37,4478,16667
272,4479,19984
151,4481,18438
73,4485,27232
320,4487,16544
282,4488,23224
20,4489,25000
103,4490,24615
65,4491,19250
63,4492,18516
408,4493,22275
173,4495,20875
316,4496,31043
124,4497,16336
999,4530,27772
266,4535,32772
136,4537,32224
302,4538,25553
95,4539,26593
298,4543,31543
42,4544,35435
254,4547,23622
231,4548,32740
274,4551,29167
305,4553,36385
74,4554,31538
419,4555,30344
275,4556,29132
19,4558,37361
355,4562,35147
326,4563,25019
70,4564,30612
108,4568,28977
30,4571,25233
258,4572,23540
136,4573,31473
346,4574,23344
15,4575,55417
186,4576,28833
457,4578,24744
298,4579,33591
2111,4605,26790
220,4606,22147
221,4607,25848
298,4609,28092
131,4611,18917
82,4612,25714
22,4613,25375
140,4614,27393
210,4616,21118
187,4617,29375
256,4619,20795
275,4622,21633
273,4623,22596
32,4624,17500
41,4625,33000
159,4626,24250
238,4627,25282
209,4628,21042
280,4630,23068
315,4631,19603
360,4634,20702
50,4637,20625
288,4640,28294
24,4642,36250
207,4643,22930
20,4646,43750
179,4648,23047
269,4649,20410
27,4650,23984
401,4652,17722
68,4653,20792
732,4654,20100
232,4655,21269
146,4657,26250
297,4658,20777
158,4660,42647
38,4662,39079
232,4664,23886
446,4666,23848
457,4667,22805
439,4668,19792
160,4671,34018
45,4673,23750
67,4674,31944
37,4675,26875
222,4676,24000
130,4677,25000
220,4679,28958
274,4680,20795
214,4681,22357
332,4684,32905
192,4685,27813
37,4686,20521
116,4691,29107
124,4693,25662
597,4694,26810
1626,4730,21306
359,4732,23662
47,4733,17656
166,4734,22083
196,4735,23558
1126,4736,21980
248,4739,17853
303,4740,21875
176,4742,23766
718,4743,20843
220,4745,21983
165,4746,15294
402,4747,18491
392,4750,15718
199,4756,22417
723,4757,27781
278,4758,20931
196,4760,20724
128,4761,24514
215,4762,25000
195,4763,20043
30,4764,17813
234,4765,22219
207,4766,21080
172,4768,24231
915,4769,21381
250,4772,20774
38,4773,26444
209,4774,18583
275,4776,18920
146,4777,17061
76,4779,20729
286,4780,17794
173,4781,21100
195,4783,21708
417,4785,16432
442,4786,23484
160,4787,13851
464,4841,25861
230,4843,30444
379,4847,25072
244,4848,35313
708,4849,31104
23,4851,21964
24,4852,35313
223,4853,30347
403,4854,29861
19,4855,32434
278,4856,30618
347,4858,28056
73,4859,32951
110,4860,30938
152,4861,24735
662,4862,26307
182,4863,20731
329,4864,25616
2223,4901,21680
289,4910,22760
293,4911,22515
198,4912,15978
922,4915,28436
276,4917,33634
31,4918,23375
330,4920,18512
395,4921,19655
259,4922,21129
155,4923,18274
237,4924,25000
39,4925,19375
234,4927,23975
249,4928,23137
261,4929,21083
365,4930,20050
275,4932,24635
392,4937,23417
1052,4938,20166
257,4939,22123
421,4941,24531
345,4942,17313
341,4943,20341
214,4945,25682
362,4947,25444
202,4949,27750
258,4950,22585
219,4951,23125
545,4952,26867
267,4953,27335
310,4955,23506
221,4956,24279
494,4957,21515
273,4958,23408
258,4961,26385
19,4962,32308
523,4963,26621
25,4964,35139
302,4965,23057
373,4966,18571
343,4967,19784
281,4969,27581
303,4970,26135
263,4971,21022
292,4973,27351
131,4974,21359
817,4976,21458
132,4978,27431
192,4979,24392
528,4981,26509
93,4982,21932
304,4983,20984
176,4984,21756
15,4985,21458
509,4986,22448
236,4987,22750
424,4988,14426
329,4989,31352
721,5001,35340
331,5032,27975
349,5033,30698
40,5034,31477
141,5035,28722
234,5036,29919
102,5037,37054
318,5038,23668
281,5039,26186
106,5040,29792
25,5041,25732
106,5042,36154
125,5043,45561
424,5045,35135
206,5046,26080
196,5048,34338
25,5050,25250
307,5051,26207
88,5053,42083
376,5055,43274
142,5056,25313
58,5058,37604
36,5059,42060
603,5060,30095
217,5061,23150
182,5062,28472
221,5065,33286
43,5067,31250
342,5068,28315
123,5069,25500
105,5070,41167
133,5072,29643
174,5075,41711
99,5076,21250
324,5077,35288
243,5079,25492
157,5081,13980
50,5083,25063
18,5084,35000
156,5086,28636
519,5089,26844
443,5091,36634
447,5101,24583
24,5141,16875
162,5142,26512
715,5143,27145
234,5146,29231
135,5148,39659
448,5149,27088
49,5150,16898
192,5151,25740
142,5152,34091
136,5153,25167
109,5154,21500
118,5155,24706
730,5156,24914
177,5158,27462
201,5161,35350
1481,5201,23774
741,5250,32326
186,5251,31964
75,5252,29625
73,5253,38409
34,5254,50795
266,5255,28543
522,5257,18919
44,5260,25568
204,5261,23098
172,5262,38703
1780,5301,27102
139,5340,34330
74,5341,28958
134,5342,22745
164,5343,28947
573,5345,31310
785,5346,25718
234,5350,24508
319,5352,32500
186,5353,25446
338,5354,29815
190,5355,26458
97,5356,26652
52,5358,33214
218,5359,29048
70,5360,31500
263,5361,30243
292,5363,27067
2896,5401,19361
1256,5403,38319
664,5404,21963
1128,5405,3118
713,5408,31374
285,5440,31709
157,5441,30652
173,5442,24342
1082,5443,32571
289,5444,32200
354,5445,51813
1187,5446,32823
26,5447,20781
221,5448,35111
932,5450,30576
1554,5452,38125
305,5454,37552
229,5455,43295
186,5456,31667
302,5457,30920
341,5458,35444
97,5459,28010
298,5461,33762
559,5462,36862
164,5463,31250
481,5464,33194
754,5465,46283
937,5468,37726
124,5471,27571
445,5472,31019
262,5473,39375
339,5474,40924
458,5476,20364
491,5477,38935
1032,5478,31622
443,5482,47932
212,5483,34375
424,5486,37895
394,5487,31299
641,5488,29221
581,5489,42380
1309,5491,30483
246,5492,30750
475,5494,41625
820,5495,39109
1804,5602,35431
32,5640,32188
1337,5641,29459
245,5647,24764
96,5648,46339
81,5649,27134
252,5650,31892
218,5651,31591
191,5652,26094
91,5653,28839
79,5654,21053
360,5655,30877
471,5656,17378
17,5657,51250
393,5658,30332
421,5660,39825
527,5661,29808
850,5663,23616
492,5667,30633
226,5669,27885
268,5672,39833
590,5673,39375
235,5674,37837
301,5675,28651
807,5676,36321
101,5677,34418
269,5679,28463
547,5680,30215
86,5681,37454
323,5682,32614
1700,5701,25751
70,5730,28375
78,5732,36110
893,5733,27142
312,5734,32143
628,5735,20633
58,5736,35300
212,5737,32857
285,5738,36453
362,5739,25690
105,5742,35000
745,5743,26088
62,5744,18819
140,5747,29000
157,5748,22500
181,5751,31750
1862,5753,21365
293,5757,30764
172,5758,31685
246,5759,24948
285,5760,29178
221,5761,28447
101,5762,30764
299,5763,31380
518,5764,23542
426,5765,30346
129,5766,26650
266,5767,25042
292,5769,32250
282,5770,29434
201,5772,34464
398,5773,28424
193,5774,26856
109,5775,19886
149,5776,26875
628,5777,29144
290,5778,28047
1137,5819,24341
137,5820,17309
298,5821,26995
397,5822,20675
331,5824,25887
26,5825,26625
241,5826,27554
91,5827,21563
325,5828,30032
314,5829,24405
349,5830,28839
162,5832,23935
40,5833,19722
203,5836,23571
126,5837,23173
180,5839,23906
136,5841,27708
180,5842,24635
212,5843,22330
238,5845,20383
194,5846,19875
223,5847,26313
914,5851,22003
148,5853,21920
971,5855,24393
359,5857,22931
111,5858,20294
414,5859,26806
758,5860,24275
81,5862,28472
209,5866,25509
206,5867,26494
85,5868,24022
408,5871,29135
171,5872,23457
156,5873,30644
155,5874,23654
90,5875,30000
38,5902,21369
216,5903,22560
43,5904,14018
351,5905,25433
305,5906,19327
61,5907,26250
1475,6001,59301
1330,6002,35343
3928,6010,35293
938,6013,50804
365,6016,41022
277,6018,33030
629,6019,43913
75,6021,31569
76,6023,39732
31,6024,47788
262,6026,45840
341,6027,41389
642,6029,44985
314,6031,44861
1574,6032,48283
2261,6033,51520
597,6035,46575
1070,6037,45106
144,6039,39620
2628,6040,33599
1791,6042,41281
489,6043,48620
1979,6051,21181
635,6052,35204
2763,6053,30028
356,6057,47650
368,6058,41250
137,6060,52569
1183,6062,36548
327,6063,46152
129,6065,42731
2014,6066,33804
1152,6067,45835
163,6068,35714
229,6069,38500
1644,6070,50364
1136,6071,32431
537,6073,68448
2167,6074,47804
1278,6076,35984
1075,6078,35360
118,6081,42685
4333,6082,34095
861,6084,48651
701,6085,45684
270,6088,35341
310,6089,54850
58,6090,64773
34,6091,23500
391,6092,61134
303,6093,49438
2283,6095,38532
924,6096,34274
823,6098,28843
158,6103,63864
1147,6105,22564
3101,6106,19487
2104,6107,58273
1801,6108,26955
1978,6109,40518
1023,6110,33507
2683,6111,41145
1882,6112,22532
1745,6114,21039
1941,6117,48592
1931,6118,31983
1191,6119,43473
1288,6120,15280
1604,6226,16113
343,6231,54375
300,6232,47153
476,6234,33066
338,6235,37935
299,6237,46243
700,6238,43183
617,6239,27550
403,6241,37603
312,6242,37356
748,6247,35082
516,6248,51612
413,6249,41596
377,6250,37778
572,6254,43319
343,6255,34439
121,6256,33326
396,6259,41068
740,6260,28500
50,6262,30614
17,6264,51607
35,6266,38527
1102,6268,12685
372,6277,35901
453,6278,32528
295,6279,36856
238,6280,34594
413,6281,38208
57,6282,30000
2101,6320,19668
535,6330,30579
479,6331,39448
29,6332,31673
641,6333,44985
393,6334,37112
345,6335,49638
598,6339,41080
2682,6340,27824
979,6351,31513
356,6354,30492
1235,6355,46071
1563,6357,36927
318,6359,37465
2208,6360,27628
437,6365,35985
369,6370,40421
1176,6371,44871
18,6373,8106
537,6374,30965
376,6375,39542
16,6376,45175
217,6377,36722
748,6378,42493
820,6379,34300
128,6380,24899
1036,6382,32463
401,6384,39810
1318,6385,38015
43,6390,50703
1149,6401,26980
294,6403,46977
1993,6405,40948
25,6409,30060
2262,6410,47384
355,6412,39272
1300,6413,37028
1286,6415,44102
1010,6416,45755
449,6417,35123
639,6418,31858
384,6419,50010
366,6420,53148
486,6422,48811
385,6423,43029
995,6424,45493
213,6426,50400
1813,6437,50184
149,6438,38117
280,6441,65089
162,6442,43297
1291,6443,48568
377,6447,49206
2194,6450,35889
1768,6451,35814
303,6455,45134
3854,6457,35033
3289,6460,42095
1084,6461,43776
21,6467,28750
1009,6468,42161
169,6469,28750
1702,6470,47911
426,6471,39407
348,6472,42121
1642,6473,40351
792,6475,40190
1369,6477,50721
710,6478,46526
650,6479,46030
599,6480,45189
107,6481,42283
939,6482,45931
1005,6483,36175
2843,6484,41199
1691,6488,41651
2863,6489,43157
3465,6492,42162
393,6498,37290
282,6510,36432
4205,6511,23253
1847,6512,32990
2016,6513,22275
1639,6514,35537
1577,6515,26538
3367,6516,27355
1117,6517,41444
1375,6518,28399
1203,6519,17692
371,6524,57849
666,6525,55022
2299,6604,19156
1733,6605,23619
2815,6606,27429
587,6607,20895
1148,6608,18467
1502,6610,23707
2976,6611,47048
687,6612,48478
2748,6614,38232
1283,6615,32865
223,6702,11220
1872,6704,21246
1263,6705,26275
978,6706,22401
2304,6708,28964
771,6710,20311
685,6712,40689
1033,6716,39419
279,6750,37422
377,6751,42120
443,6752,45750
453,6754,43897
57,6755,40865
293,6756,37500
206,6757,28278
54,6758,43092
781,6759,40227
758,6762,44192
352,6763,40797
1626,6770,35255
1916,6776,36164
202,6777,42258
96,6778,39837
490,6779,33820
179,6782,36496
374,6783,46074
346,6784,45605
